movie_title,gross,total_gross,theaters
Jurassic World,652270625,652270625,4291
Star Wars: Episode VII - The Force Awakens,651967269,936662225,4134
Avengers: Age of Ultron,459005868,459005868,4276
Inside Out,356461711,356461711,4158
Furious 7,353007020,353007020,4022
American Sniper,348797073,350126372,3885
Minions,336045770,336045770,4311
The Hunger Games: Mockingjay - Part 2,269569121,281723902,4175
The Martian,225345353,228433663,3854
Cinderella,201151353,201151353,3848
Spectre,197102585,200074609,3929
Mission: Impossible - Rogue Nation,195042377,195042377,3988
Pitch Perfect 2,183785415,184296230,3660
Ant-Man,180202163,180202163,3868
Home,177397510,177397510,3801
Hotel Transylvania 2,168471018,169700110,3768
Fifty Shades of Grey,166167230,166167230,3655
The SpongeBob Movie: Sponge Out of Water,162994032,162994032,3680
Straight Outta Compton,161197785,161197785,3142
San Andreas,155190832,155190832,3812
Mad Max: Fury Road,153636354,153636354,3722
The Divergent Series: Insurgent,130179072,130179072,3875
Kingsman: The Secret Service,128261724,128261724,3282
The Peanuts Movie,128235584,130178411,3902
Spy,110825712,110825712,3715
The Good Dinosaur,110716470,123087120,3749
Trainwreck,110212700,110212700,3171
Creed,99385165,109767581,3502
Tomorrowland,93436322,93436322,3972
Get Hard,90411453,90411453,3212
Terminator Genisys,89760956,89760956,3783
Taken 3,89256424,89256424,3594
Maze Runner: The Scorch Trials,81630702,81697192,3792
Ted 2,81476385,81476385,3448
Goosebumps,79132868,80080379,3618
Pixels,78747585,78747585,3723
Paddington,76271832,76271832,3355
The Intern,75574886,75764672,3320
The Imitation Game,71189164,91125683,2402
Paul Blart: Mall Cop 2,71038190,71038190,3633
Bridge of Spies,70447776,72313754,2873
War Room,67790117,67790117,1945
Magic Mike XXL,66013057,66013057,3376
The Hobbit: The Battle of the Five Armies,65570462,255119788,3875
The Visit,65206105,65206105,3148
Daddys Home,64684278,150357137,3483
The Wedding Ringer,64460211,64460211,3003
Into the Woods,63940268,128002372,2833
Black Mass,62575678,62575678,3188
Vacation,58884188,58884188,3430
The Perfect Guy,57027435,57027435,2230
Fantastic Four,56117548,56117548,4004
Alvin and the Chipmunks: The Road Chip,55575427,85886987,3705
Focus,53862963,53862963,3323
Unbroken,53109285,115637895,3301
Southpaw,52421953,52421953,2772
Insidious: Chapter 3,52218558,52218558,3014
Selma,50872921,52076908,2235
Sisters,49123380,87044645,2978
Poltergeist,47425125,47425125,3242
